Year,Month,Day,Weekday,Direction,Line,Hint,Answer,Author,Editor,PuzTitle,PuzClue,NumRows,NumCols,NumWords,NumBlocks,MissingLetters
1995,1,6,Friday,Across,29,Botanist's angle,AXIL,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,30,"""Dangerous Liaisons"" star",CLOSE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,31,One who stoops to conquer,SHE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,34,Part 2 of the quip,NEVERGROUSETHEY,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,38,Isle of ___; England,ELY,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,39,"""Werewolf of London"" star; 1935",OLAND,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,40,Erect,REAR,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,41,Tickle,AMUSE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,42,Restraint,BRIDLE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,44,Curricula vitae,RESUMES,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,47,Startling success,COUP,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,48,Pass over,ELIDE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,49,Factory,SHOP,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,50,Emblem of sovereignty,ORB,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,53,End of the quip,MERELYSTAMPAWAY,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,57,Sunday wrap,AMEN,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,58,Delete,ERASE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,59,Nonmainstream group,SECT,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,60,Spare item,PIN,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,61,Clemson player,TIGER,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Across,62,What the genouillère protects,KNEE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,1,Biker's aid,CLIP,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,2,Round dance,HORA,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,3,Amphitheater,OVAL,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,4,Darling,PET,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,5,1992 Irons-Binoche film,DAMAGE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,6,Start of a marksman's orders,READY,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,7,One of the Oceanides,ASIA,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,8,Wire measure,MIL,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,9,Path of a pass,ARC,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,10,Feast of Lots,PURIM,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,11,Hock,ANKLE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,12,Approvals,YESES,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,15,Tale-spinning uncle,REMUS,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,17,Port on the Ijsselmeer,EDAM,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,18,Time sharer; e.g.,LESSEE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,22,Big band drummer Cozy ___,COLE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,23,Viva voce,ALOUD,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,24,Bratty talk,SASS,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,25,Reasoning,SANE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,26,Oksana Baiul leap,AXEL,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,27,Roman historian,LIVY,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,28,Computer knockoff,CLONE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,30,Without couth,CRASS,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,31,Strip,SHED,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,32,Time can do it,HEAL,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,33,Gothic governess,EYRE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,35,Loser at El Alamein,ROMMEL,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,36,Model binder,GLUE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,37,Do LSD,TRIP,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,41,"""City Without Walls"" poet",AUDEN,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,42,Thunderclap,BOOMER,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,43,Basketball coach Adolph,RUPP,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,44,Plot again,REMAP,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,45,Varnish ingredient,ELEMI,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,46,Silent screen slinker,SIREN,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,47,Portrait on a $10;000 bill,CHASE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,49,Unpartnered,STAG,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,50,Social reformer Robert,OWEN,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,51,Camptown activity,RACE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,52,"""PC World"" rival",BYTE,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,54,Nevertheless,YET,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,55,Title for Nehru,SRI,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,6,Friday,Down,56,"""Just ___""",ASK,Fran & Lou Sabin,Will Shortz,"New York Times, Friday, January 6, 1995","""Werewolf of London"" star, 1935",15,15,78,38,FJQZ
1995,1,5,Thursday,Across,1,Bon mot from Julia Child?,APPETIT,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,8,"""Cotton Candy"" trumpeter",ALHIRT,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,14,Literary hero of 1605,QUIXOTE,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,15,Child's conveyance,SCOOTER,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,16,Wild,UNTAMED,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,17,George Eliot; e.g.,PENNAME,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,18,Not know from ___,ADAM,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,19,The Third,III,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,21,Disputed heights,GOLAN,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,22,Reason for a patch,RIP,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,23,Smeary mark,SMUDGE,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,26,The outside,RIND,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,27,Call ___ day,ITA,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,28,Exit,COMEOUT,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,30,Want ___,ADS,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,31,Aft,ASTERN,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,33,Removes solids from,STRAINS,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,35,Shoemaker,NIKE,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,37,Aforementioned,SAID,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,38,Writer from Hannibal; Mo.,CLEMENS,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,41,Seers,SWAMIS,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,45,___-la-la,TRA,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,46,Porky Pig's sweetheart,PETUNIA,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,48,It's measured in minutes,ARC,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,49,Possess; in the Bible,HAST,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,51,Like Tarzan's friends,SIMIAN,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,52,Japanese dance-drama,NOH,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,53,Anesthetic,ETHER,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,55,Ill. zone,CST,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,56,Teen tormentor,ACNE,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,57,Give a roar of approval?,LIONIZE,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,59,Guglielmo; in America,WILLIAM,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,62,Chilled desserts,MOUSSES,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,63,Encroach,IMPINGE,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,64,Started stud,ANTEED,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Across,65,More palatable,TASTIER,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,1,Swimming sites,AQUARIA,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,2,Opinion offerers,PUNDITS,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,3,Sound of rain on a roof,PITAPAT,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,4,Student stressor,EXAM,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,5,Cruise in Hollywood,TOM,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,6,Follower,ITE,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,7,Ennui,TEDIUM,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,8,Top-flight,ACE,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,9,Over the limit,LONG,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,10,"Blackman of ""Goldfinger""",HONOR,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,11,Type of dressing,ITALIAN,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,12,Sends back,REMANDS,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,13,Now people set them,TRENDS,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,15,Taps,SPIGOTS,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,20,Midmonth date,IDES,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,23,Husband one's resources,SCRIMP,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,24,"""Valleri"" band; 1968",MONKEES,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,25,The Urals divide it,EURASIA,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,29,Republic of China,TAIWAN,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,32,Wind heading,ENE,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,34,Wyo. neighbor,IDA,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,36,Attracts adroitly,ENTICES,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,38,It might be a mess,CRATION,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,39,Respond angrily,LASHOUT,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,40,Additional answers?,SUMS,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,42,"""Dear Heart"" composer",MANCINI,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,43,Period starting about 1000 B.C.,IRONAGE,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,44,Intriguing person,SCHEMER,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,45,Actress Ritter,THELMA,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,47,Pinhead,NITWIT,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,50,Present; e.g.,TENSE,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
1995,1,5,Thursday,Down,54,Hill,RISE,Harvey Estes,Will Shortz,"New York Times, Thursday, January 5, 1995",Period starting about 1000 B.C.,15,15,72,33,BFJVY
